Name,UniqueId,ResourceId,FirstCategory,FirstCategoryPriorityValue,ListPriorityByList,ListPriorityValue,ProcessPriorityByList,ProcessPriorityValue,CyclePriorityByList,CyclePriorityValue,HierarchyPriorityByList,HierarchyPriorityValue,RelationshipPriorityByList,RelationshipPriorityValue,MatrixPriorityByList,MatrixPriorityValue,PyramidPriorityByList,PyramidPriorityValue,PicturePriorityByList,PicturePriorityValue,PictureconvertPriorityByList,PictureconvertPriorityValue,ConvertPriorityByList,ConvertPriorityValue,OtherPriorityByList,OtherPriorityValue
アーチ型線で飾られた組織図,urn:microsoft.com/office/officeart/2008/layout/HalfCircleOrganizationChart,3507,hierarchy,1500,,,,,,,1,1500,,,,,,,,,,,,,,
階層,urn:microsoft.com/office/officeart/2005/8/layout/hierarchy1,3152,hierarchy,2000,,,,,,,1,2000,,,,,,,,,,,,,,
ラベル付き階層,urn:microsoft.com/office/officeart/2005/8/layout/hierarchy6,3442,hierarchy,3000,,,,,,,1,3000,,,,,,,,,,,,,,
積み木型の階層,urn:microsoft.com/office/officeart/2005/8/layout/hierarchy4,3312,hierarchy,4000,2,24000,,,,,1,4000,3,10000,,,,,,,,,,,,
水平方向の組織図,urn:microsoft.com/office/officeart/2009/3/layout/HorizontalOrganizationChart,3615,hierarchy,4300,,,,,,,1,4300,,,,,,,,,,,,,,
複数レベル対応の横方向階層,urn:microsoft.com/office/officeart/2008/layout/HorizontalMultiLevelHierarchy,3513,hierarchy,4600,,,,,,,1,4600,,,,,,,,,,,,,,
横方向階層,urn:microsoft.com/office/officeart/2005/8/layout/hierarchy2,3155,hierarchy,5000,,,,,,,1,5000,,,,,,,,,,,,,,
ラベル付き横方向階層,urn:microsoft.com/office/officeart/2005/8/layout/hierarchy5,3433,hierarchy,6000,,,,,,,1,6000,,,,,,,,,,,,,,
階層リスト,urn:microsoft.com/office/officeart/2005/8/layout/hierarchy3,3158,hierarchy,7000,2,23000,,,,,1,7000,3,15000,,,,,,,,,4,7000,,
線区切りリスト,urn:microsoft.com/office/officeart/2008/layout/LinedList,3516,hierarchy,8000,2,2500,,,,,1,8000,,,,,,,,,,,,,,
カード型リスト,urn:microsoft.com/office/officeart/2005/8/layout/default,3101,list,400,1,400,,,,,,,,,,,,,,,,,,,,
左右交替積み上げ六角形,urn:microsoft.com/office/officeart/2008/layout/AlternatingHexagons,3468,list,1500,1,1500,,,,,,,,,,,,,,,,,,,,
画像リスト,urn:microsoft.com/office/officeart/2005/8/layout/pList1,3333,list,2000,1,2000,,,,,,,,,,,,,2,2500,3,2500,,,,
縦方向箇条書きリスト,urn:microsoft.com/office/officeart/2005/8/layout/vList2,3279,list,3000,1,3000,,,,,,,,,,,,,,,,,2,1000,,
縦方向リスト,urn:microsoft.com/office/officeart/2005/8/layout/list1,3161,list,4000,1,4000,,,,,,,,,,,,,,,,,,,,
横方向箇条書きリスト,urn:microsoft.com/office/officeart/2005/8/layout/hList1,3339,list,5000,1,5000,,,,,,,,,,,,,,,,,2,5000,,
箇条書き記号アクセント リスト,urn:microsoft.com/office/officeart/2008/layout/SquareAccentList,3543,list,5500,1,5500,,,,,,,,,,,,,,,,,,,,
画像付き横方向リスト,urn:microsoft.com/office/officeart/2005/8/layout/hList2,3164,list,6000,1,6000,,,,,,,2,16000,,,,,3,29000,4,29000,,,,
画像付きカード型リスト,urn:microsoft.com/office/officeart/2005/8/layout/bList2,3173,list,7000,1,7000,,,,,,,,,,,,,3,28000,4,28000,2,16000,,
積み上げリスト,urn:microsoft.com/office/officeart/2005/8/layout/hList9,3459,list,8000,1,8000,,,,,,,,,,,,,,,,,,,,
増大円形プロセス,urn:microsoft.com/office/officeart/2008/layout/IncreasingCircleProcess,3612,list,8300,1,8300,2,4300,,,,,,,,,,,,,,,,,,
円グラフ プロセス,urn:microsoft.com/office/officeart/2009/3/layout/PieProcess,3573,list,8600,1,8600,2,4600,,,,,,,,,,,,,,,,,,
グループ リスト,urn:microsoft.com/office/officeart/2005/8/layout/lProcess2,3318,list,10000,1,10000,,,,,,,2,13000,,,,,,,,,,,,
横方向画像リスト,urn:microsoft.com/office/officeart/2005/8/layout/pList2,3336,list,11000,1,11000,,,,,,,,,,,,,2,24000,3,24000,,,,
矢印付き画像リスト,urn:microsoft.com/office/officeart/2005/8/layout/hList7,3430,list,12000,1,12000,2,20000,,,,,3,14000,,,,,5,25000,6,25000,4,8000,,
画像付きラベル,urn:microsoft.com/office/officeart/2008/layout/PictureStrips,3534,list,12500,1,12500,,,,,,,,,,,,,2,13000,3,13000,,,,
横方向円形画像リスト,urn:microsoft.com/office/officeart/2005/8/layout/vList4,3309,list,13000,1,13000,,,,,,,,,,,,,2,26000,3,26000,,,,
縦方向画像リスト,urn:microsoft.com/office/officeart/2005/8/layout/vList3,3306,list,14000,1,14000,,,,,,,,,,,,,3,27000,4,27000,2,3000,,
縦方向ボックス リスト,urn:microsoft.com/office/officeart/2005/8/layout/vList5,3342,list,15000,1,15000,,,,,,,,,,,,,,,,,2,2000,,
縦方向アクセント リスト,urn:microsoft.com/office/officeart/2008/layout/VerticalAccentList,3558,list,16500,1,16500,,,,,,,,,,,,,,,,,,,,
台形リスト,urn:microsoft.com/office/officeart/2005/8/layout/hList6,3315,list,18000,1,18000,,,,,,,,,,,,,,,,,,,,
ブロックの降順リスト,urn:microsoft.com/office/officeart/2009/3/layout/BlockDescendingList,3570,list,18500,1,18500,,,,,,,,,,,,,,,,,,,,
表型リスト,urn:microsoft.com/office/officeart/2005/8/layout/hList3,3167,list,19000,1,19000,,,,,,,,,,,,,,,,,,,,
縦方向カーブ リスト,urn:microsoft.com/office/officeart/2008/layout/VerticalCurvedList,3564,list,20000,1,20000,,,,,,,,,,,,,,,,,,,,
縦方向円リスト,urn:microsoft.com/office/officeart/2008/layout/VerticalCircleList,3561,list,23500,1,23500,,,,,,,,,,,,,,,,,,,,
基本マトリックス,urn:microsoft.com/office/officeart/2005/8/layout/matrix3,3267,matrix,1000,,,,,,,,,,,1,1000,,,,,,,2,18000,,
タイトル付きマトリックス,urn:microsoft.com/office/officeart/2005/8/layout/matrix1,3149,matrix,2000,,,,,,,,,,,1,2000,,,,,,,,,,
グリッド マトリックス,urn:microsoft.com/office/officeart/2005/8/layout/matrix2,3456,matrix,3000,,,,,,,,,,,1,3000,,,,,,,,,,
アクセント付きの図,urn:microsoft.com/office/officeart/2008/layout/AccentedPicture,3465,picture,1000,,,,,,,,,,,,,,,1,1000,2,1000,,,,
円形画像を使った吹き出し,urn:microsoft.com/office/officeart/2008/layout/CircularPictureCallout,3504,picture,2000,,,,,,,,,,,,,,,1,2000,2,2000,,,,
スナップショット画像リスト,urn:microsoft.com/office/officeart/2009/3/layout/SnapshotPictureList,3600,picture,3000,,,,,,,,,,,,,,,1,3000,2,3000,,,,
渦巻き画像,urn:microsoft.com/office/officeart/2009/3/layout/SpiralPicture,3567,picture,4000,,,,,,,,,,,,,,,1,4000,2,4000,,,,
表題付き画像,urn:microsoft.com/office/officeart/2008/layout/CaptionedPictures,3495,picture,5000,,,,,,,,,,,,,,,1,5000,2,5000,,,,
自動配置の表題付き画像,urn:microsoft.com/office/officeart/2008/layout/BendingPictureCaption,3486,picture,6000,,,,,,,,,,,,,,,1,6000,2,6000,,,,
自動配置の半透明テキスト付き画像,urn:microsoft.com/office/officeart/2008/layout/BendingPictureSemiTransparentText,3489,picture,7000,,,,,,,,,,,,,,,1,7000,2,7000,,,,
自動配置の画像ブロック,urn:microsoft.com/office/officeart/2008/layout/BendingPictureBlocks,3480,picture,8000,,,,,,,,,,,,,,,1,8000,2,8000,,,,
自動配置の表題付き画像リスト,urn:microsoft.com/office/officeart/2008/layout/BendingPictureCaptionList,3483,picture,9000,,,,,,,,,,,,,,,1,9000,2,9000,,,,
タイトル付き画像ブロック,urn:microsoft.com/office/officeart/2008/layout/TitledPictureBlocks,3555,picture,10000,,,,,,,,,,,,,,,1,10000,2,10000,,,,
画像グリッド,urn:microsoft.com/office/officeart/2008/layout/PictureGrid,3528,picture,11000,,,,,,,,,,,,,,,1,11000,2,11000,,,,
画像アクセント ブロック,urn:microsoft.com/office/officeart/2008/layout/PictureAccentBlocks,3522,picture,12000,,,,,,,,,,,,,,,1,12000,2,12000,,,,
タイトル付き画像アクセント リスト,urn:microsoft.com/office/officeart/2008/layout/PictureAccentList,3525,picture,14000,2,14500,,,,,,,,,,,,,1,14000,,,,,,
左右交代積み上げ画像ブロック,urn:microsoft.com/office/officeart/2008/layout/AlternatingPictureBlocks,3471,picture,15000,3,13500,,,,,,,,,,,,,1,15000,2,15000,,,,
円形付き画像ジグザグ表示,urn:microsoft.com/office/officeart/2008/layout/AlternatingPictureCircles,3474,picture,17000,,,,,,,,,,,,,,,1,17000,2,17000,,,,
タイトル付き画像ラインアップ,urn:microsoft.com/office/officeart/2008/layout/TitlePictureLineup,3552,picture,18000,,,,,,,,,,,,,,,1,18000,2,18000,,,,
画像ラインアップ,urn:microsoft.com/office/officeart/2008/layout/PictureLineup,3531,picture,19000,,,,,,,,,,,,,,,1,19000,2,19000,,,,
フレームに表示されるテキスト画像,urn:microsoft.com/office/officeart/2009/3/layout/FramedTextPicture,3597,picture,20000,,,,,,,,,,,,,,,1,20000,2,20000,,,,
蜂の巣状の六角形,urn:microsoft.com/office/officeart/2008/layout/HexagonCluster,3510,picture,21000,,,,,,,,,2,3200,,,,,1,21000,3,21000,,,,
バブル状画像リスト,urn:microsoft.com/office/officeart/2008/layout/BubblePictureList,3492,picture,22000,,,,,,,,,,,,,,,1,22000,2,22000,,,,
基本ステップ,urn:microsoft.com/office/officeart/2005/8/layout/process1,3104,process,1000,,,1,1000,,,,,,,,,,,,,,,2,15000,,
ステップ アップ プロセス,urn:microsoft.com/office/officeart/2009/3/layout/StepUpProcess,3606,process,1300,,,1,1300,,,,,,,,,,,,,,,,,,
ステップ ダウン プロセス,urn:microsoft.com/office/officeart/2005/8/layout/StepDownProcess,3603,process,1600,,,1,1600,,,,,,,,,,,,,,,,,,
強調ステップ,urn:microsoft.com/office/officeart/2005/8/layout/process3,3110,process,2000,,,1,2000,,,,,,,,,,,,,,,,,,
画像付きプロセス,urn:microsoft.com/office/officeart/2005/8/layout/hProcess10,3363,process,3000,,,1,3000,,,,,,,,,,,2,30000,3,30000,,,,
波型ステップ,urn:microsoft.com/office/officeart/2005/8/layout/hProcess4,3439,process,4000,,,1,4000,,,,,,,,,,,,,,,,,,
矢印と長方形のプロセス,urn:microsoft.com/office/officeart/2005/8/layout/hProcess9,3360,process,5000,,,1,5000,,,,,,,,,,,,,,,2,13000,,
増加矢印のプロセス,urn:microsoft.com/office/officeart/2009/3/layout/IncreasingArrowsProcess,3582,process,5500,,,1,5500,,,,,,,,,,,,,,,,,,
大きな矢印のプロセス,urn:microsoft.com/office/officeart/2005/8/layout/hProcess3,3291,process,6000,,,1,6000,,,,,,,,,,,,,,,,,,
矢印型ステップ,urn:microsoft.com/office/officeart/2005/8/layout/hProcess6,3351,process,7000,,,1,7000,,,,,,,,,,,,,,,,,,
円形組み合わせタイムライン,urn:microsoft.com/office/officeart/2008/layout/CircleAccentTimeline,3498,process,7500,,,1,7500,,,,,,,,,,,,,,,,,,
タイムライン,urn:microsoft.com/office/officeart/2005/8/layout/hProcess11,3366,process,8000,,,1,8000,,,,,,,,,,,,,,,2,14000,,
プロセス,urn:microsoft.com/office/officeart/2005/8/layout/chevron1,3119,process,9000,,,1,9000,,,,,,,,,,,,,,,,,,
開始点強調型プロセス,urn:microsoft.com/office/officeart/2005/8/layout/hChevron3,3436,process,10000,,,1,10000,,,,,,,,,,,,,,,,,,
プロセス リスト,urn:microsoft.com/office/officeart/2005/8/layout/lProcess3,3321,process,11000,,,1,11000,,,,,,,,,,,,,,,2,12000,,
縦方向プロセス,urn:microsoft.com/office/officeart/2005/8/layout/chevron2,3122,process,12000,2,16000,1,12000,,,,,,,,,,,,,,,3,11000,,
サブステップ プロセス,urn:microsoft.com/office/officeart/2009/3/layout/SubStepProcess,3576,process,12250,,,1,12250,,,,,,,,,,,,,,,,,,
フェーズ プロセス,urn:microsoft.com/office/officeart/2009/3/layout/PhasedProcess,3585,process,12500,,,1,12500,,,,,,,,,,,,,,,,,,
複数案をまとめるステップ,urn:microsoft.com/office/officeart/2009/3/layout/RandomtoResultProcess,3588,process,12750,,,1,12750,,,,,,,,,,,,,,,,,,
縦方向ステップ,urn:microsoft.com/office/officeart/2005/8/layout/process2,3107,process,13000,,,1,13000,,,,,,,,,,,,,,,,,,
段違いステップ,urn:microsoft.com/office/officeart/2005/8/layout/vProcess5,3462,process,14000,,,1,14000,,,,,,,,,,,,,,,,,,
ステップ リスト,urn:microsoft.com/office/officeart/2005/8/layout/lProcess1,3369,process,15000,,,1,15000,,,,,,,,,,,,,,,,,,
分割ステップ,urn:microsoft.com/office/officeart/2005/8/layout/process4,3113,process,16000,2,20000,1,16000,,,,,,,,,,,,,,,,,,
円形矢印ステップ,urn:microsoft.com/office/officeart/2009/layout/CircleArrowProcess,3609,process,16500,,,1,16500,2,16000,,,,,,,,,,,,,,,,
基本蛇行ステップ,urn:microsoft.com/office/officeart/2005/8/layout/process5,3116,process,17000,,,1,17000,,,,,,,,,,,,,,,,,,
改行型蛇行ステップ,urn:microsoft.com/office/officeart/2005/8/layout/bProcess3,3254,process,18000,,,1,18000,,,,,,,,,,,,,,,,,,
縦型蛇行ステップ,urn:microsoft.com/office/officeart/2005/8/layout/bProcess4,3348,process,19000,,,1,19000,,,,,,,,,,,,,,,,,,
詳述プロセス,urn:microsoft.com/office/officeart/2005/8/layout/hProcess7,3357,process,21000,2,9000,1,21000,,,,,,,,,,,,,,,,,,
縦方向矢印リスト,urn:microsoft.com/office/officeart/2005/8/layout/vList6,3427,process,22000,2,17000,1,22000,,,,,,,,,,,,,,,,,,
アクセント画像付き上昇ステップ,urn:microsoft.com/office/officeart/2008/layout/AscendingPictureAccentProcess,3477,process,22500,,,1,22500,,,,,,,,,,,2,16000,3,16000,,,,
上向き矢印,urn:microsoft.com/office/officeart/2005/8/layout/arrow2,3143,process,23000,,,1,23000,,,,,,,,,,,,,,,,,,
降順プロセス,urn:microsoft.com/office/officeart/2009/3/layout/DescendingProcess,3579,process,23500,,,1,23500,,,,,,,,,,,,,,,,,,
円形蛇行ステップ,urn:microsoft.com/office/officeart/2005/8/layout/bProcess2,3176,process,24000,,,1,24000,,,,,,,,,,,,,,,,,,
基本ピラミッド,urn:microsoft.com/office/officeart/2005/8/layout/pyramid1,3137,pyramid,1000,,,,,,,,,,,,,1,1000,,,,,,,,
反転ピラミッド,urn:microsoft.com/office/officeart/2005/8/layout/pyramid3,3448,pyramid,2000,,,,,,,,,,,,,1,2000,,,,,,,,
ピラミッド リスト,urn:microsoft.com/office/officeart/2005/8/layout/pyramid2,3324,pyramid,3000,2,21000,,,,,,,,,,,1,3000,,,,,3,17000,,
分割ピラミッド,urn:microsoft.com/office/officeart/2005/8/layout/pyramid4,3354,pyramid,4000,,,,,,,,,2,9000,,,1,4000,,,,,,,,
バランス,urn:microsoft.com/office/officeart/2005/8/layout/balance1,3453,relationship,1000,,,,,,,,,1,1000,,,,,,,,,,,,
円の関連付け,urn:microsoft.com/office/officeart/2009/3/layout/CircleRelationship,3618,relationship,1500,,,,,,,,,1,1500,,,,,,,,,,,,
フィルター,urn:microsoft.com/office/officeart/2005/8/layout/funnel1,3242,relationship,2000,,,2,27000,,,,,1,2000,,,,,,,,,,,,
歯車,urn:microsoft.com/office/officeart/2005/8/layout/gear1,3282,relationship,3000,,,2,28000,3,14000,,,1,3000,,,,,,,,,,,,
対立する案,urn:microsoft.com/office/officeart/2009/3/layout/OpposingIdeas,3591,relationship,3400,,,,,,,,,1,3400,,,,,,,,,,,,
長所と短所,urn:microsoft.com/office/officeart/2009/3/layout/PlusandMinus ,3594,relationship,3600,,,,,,,,,1,3600,,,,,,,,,,,,
逆順リスト,urn:microsoft.com/office/officeart/2009/layout/ReverseList,3540,relationship,3800,,,,,,,,,1,3800,,,,,,,,,,,,
リボン状の矢印,urn:microsoft.com/office/officeart/2005/8/layout/arrow6,3330,relationship,4000,,,2,29000,,,,,1,4000,,,,,,,,,,,,
対立とバランスの矢印,urn:microsoft.com/office/officeart/2005/8/layout/arrow3,3146,relationship,5000,,,,,,,,,1,5000,,,,,,,,,,,,
内向き矢印,urn:microsoft.com/office/officeart/2005/8/layout/arrow5,3327,relationship,6000,,,2,31000,,,,,1,6000,,,,,,,,,,,,
左右逆方向矢印,urn:microsoft.com/office/officeart/2005/8/layout/arrow1,3140,relationship,7000,,,2,32000,,,,,1,7000,,,,,,,,,,,,
上下逆方向矢印,urn:microsoft.com/office/officeart/2005/8/layout/arrow4,3303,relationship,8000,,,2,30000,,,,,1,8000,,,,,,,,,,,,
ターゲット リスト,urn:microsoft.com/office/officeart/2005/8/layout/target3,3445,relationship,11000,2,22000,,,,,,,1,11000,,,,,,,,,3,4000,,
包含,urn:microsoft.com/office/officeart/2005/8/layout/target2,3245,relationship,12000,,,,,,,,,1,12000,,,,,,,,,,,,
数式,urn:microsoft.com/office/officeart/2005/8/layout/equation1,3257,relationship,17000,,,2,25000,,,,,1,17000,,,,,,,,,,,,
縦型の数式,urn:microsoft.com/office/officeart/2005/8/layout/equation2,3285,relationship,18000,,,2,26000,,,,,1,18000,,,,,,,,,,,,
集中,urn:microsoft.com/office/officeart/2005/8/layout/radial4,3270,relationship,19000,,,,,,,,,1,19000,,,,,,,,,,,,
放射ブロック,urn:microsoft.com/office/officeart/2008/layout/RadialCluster,3537,relationship,19500,,,,,2,15000,,,1,19500,,,,,,,,,,,,
放射リスト,urn:microsoft.com/office/officeart/2005/8/layout/radial2,3288,relationship,20000,,,,,,,,,1,20000,,,,,,,,,2,9000,,
基本放射,urn:microsoft.com/office/officeart/2005/8/layout/radial1,3170,relationship,22000,,,,,2,10000,,,1,22000,,,,,,,,,,,,
矢印付き放射,urn:microsoft.com/office/officeart/2005/8/layout/radial5,3297,relationship,23000,,,,,2,11000,,,1,23000,,,,,,,,,,,,
ターゲット,urn:microsoft.com/office/officeart/2005/8/layout/target1,3248,relationship,25000,,,,,,,,,1,25000,,,,,,,,,2,20000,,
循環マトリックス,urn:microsoft.com/office/officeart/2005/8/layout/cycle4,3134,relationship,26000,,,,,2,13000,,,1,26000,3,4000,,,,,,,,,,
円グラフ,urn:microsoft.com/office/officeart/2005/8/layout/chart3,3375,relationship,27000,,,,,2,8000,,,1,27000,,,,,,,,,,,,
基本ベン図,urn:microsoft.com/office/officeart/2005/8/layout/venn1,3251,relationship,28000,,,,,,,,,1,28000,,,,,,,,,2,19000,,
縦方向ベン図,urn:microsoft.com/office/officeart/2005/8/layout/venn3,3276,relationship,29000,,,,,,,,,1,29000,,,,,,,,,,,,
包含型ベン図,urn:microsoft.com/office/officeart/2005/8/layout/venn2,3273,relationship,30000,,,,,,,,,1,30000,,,,,,,,,,,,
放射型ベン図,urn:microsoft.com/office/officeart/2005/8/layout/radial3,3300,relationship,31000,,,,,2,12000,,,1,31000,,,,,,,,,,,,
